Number,Name,Fund Rate,Count,Rate,Close Price,Amount,Adjust Amount
2382,廣達,21.67,3,16.67,245,0.7,1
2301,光寶科,14.09,3,10.84,134,0.8,1
2324,仁寶,13.07,2,10.06,32,3.1,4
2347,聯強,10.67,2,8.21,61.3,1.3,2
6176,瑞儀,9.63,2,7.41,123.5,0.6,1
3711,日月光投控,8.43,3,6.49,118.5,0.5,1
3045,台灣大,8.12,2,6.25,93.6,0.7,1
3044,健鼎,7.90,2,6.08,195,0.3,0
4904,遠傳,7.52,2,5.79,70.9,0.8,0
2890,永豐金,7.45,2,5.73,17.35,3.3,3
2303,聯電,7.22,2,5.56,46.55,1.2,1
2385,群光,7.15,2,5.50,107,0.5,0
1216,統一,7.04,1,5.42,71,0.8,0
Exclude,,,,,,,
Include,,,,,,,
